Value
0x08
0x84
0x90
0x4E
0x00
0x00
0xC0
0xE8
0xFD
0x0B
0x3F
0x95
0xD7
0x03
0x00
0x00
0x08
0x44
0x01
0x80
0xDB
0xEE
0xFF
0xF7
0xFF
0xF1
0xB7
0x0D
0x00
0x02
0x00
0x80
0xE8
0xD0
0xA8
0xB7
0xF9
0x5A
0x4B
0x45
0x16
0xD8
0xD9
0x88
0xC4
0x90
0xBB
0xE6
0x67
0xD4
0x30
0x3E
0xDE
0x6F
0xB0
0x02
0x18
0x03
0xF5
0xFC
0x19
0x07
0x77
0x95
0x5F
0x6D
0x04
0x00
0x82
0x07
0x83
0xD0
0xC0
0xD9
0xDD
0xFF
0xFF
0xFF
0xBF
0xFB
0x93
0x22
0x00
0x00
0x82
0xC0
0x7F
0x26
0xDD
0x55
0xDF
0xBD
0x5A
0x18
0x00
0xA0
0x44
0x03
0x38
0x98
0x85
0xEB
0xFF
0xFF
0xF0
0xB7
0xC5
0xA1
0x14
0x08
0x08
0x03
0xD7
0x8C
0x0A
0x54
0xAD
0x52
0x20
0x1C
0x00
0xC0
0x6C
0x48
0x72
0xEF
0xAE
0xF3
0xDE
0xFF
0x07
0x4A
0x44
0x02
0x02
0x82
0x01
0x47
0xFF
0xBC
0xB5
0xBF
0xD9
0x35
0x06
0x00
0x00
0x00
0x04
0x01
0x00
0x80
0xFD
0xF3
0xFB
0xE5
0xFD
0x7B
0xDE
0xF7
0xA3
0xF7
0xFE
0xFF
0x8F
0x02
0xB2
0xFD
0xFB
0xFF
0xFF
0xFF
0xF3
0xFE
0xFF
0xFF
0x7F
0xBF
0x97
0x84
0x42
0x09
0x80
0xC8
0xFF
0xFF
0xFF
0xFD
0xFF
0xD5
0x1F
0x9B
0x81
0x0F
0x43
0x20
0x38
0x0F
0x21
0x01
0xB7
0xFD
0xEE
0xFF
0xFF
0xFF
0xFF
0xEF
0xFB
0xFF
0xFF
0xCD
0xC2
0xF4
0xF3
0xFB
0xFF
0xFF
0xFF
0xEF
0xC3
0x21
0xC0
0xA0
0x5F
0x6E
0x90
0x19
0xAA
0xE9
0x13
0x20
0x00
0x20
0xB8
0xD2
0x67
0xB4
0x77
0xF0
0xFF
0x7F
0x57
0x50
0x15
0xEB
0x3D
0xFF
0xFF
0xFF
0xE7
0xDD
0xEE
0xFF
0xFF
0xFF
0xFD
0x7E
0x42
0x05
0xAD
0xFF
0xCF
0xFF
0xFC
0xFF
0x6F
0xD5
0x0A
0x84
0x30
0xFA
0xDB
0x82
0xA1
0x19
0xA4
0x82
0x00
0x10
0x00
0x40
0xA0
0x54
0xCB
0x72
0x77
0x95
0xFF
0xDF
0x7F
0x14
0x24
0x51
0x86
0xF7
0xFF
0xFF
0xFD
0xFF
0xFF
0xFB
0xFF
0xEF
0xFF
0xA1
0x00
0x00
0x00
0xC0
0xC1
0xBD
0xC1
0x77
0xB7
0x6F
0xB4
0x02
0x02
0x00
0x0C
0x05
0x02
0x00
0x84
0x8A
0xD7
0xAF
0xFD
0xF2
0xDF
0xFF
0x95
0xFF
0xFF
0x7F
0xA7
0xDD
0x42
0x08
0x08
0xBD
0xFF
0xFF
0xFF
0x7F
0xFF
0xFF
0xFF
0x7F
0xF9
0xDF
0x0C
0x00
0x10
0x52
0xEB
0xBF
0xFF
0xBF
0xFD
0x0B
0xE7
0x58
0xA1
0x31
0x01
0xDE
0x81
0x00
0x00
0x85
0xFB
0xDD
0xFF
0xFF
0xFF
0xFF
0xFF
0xFF
0xFF
0xFF
0x2F
0x0A
0x97
0x5A
0xFF
0xFF
0xEB
0x95
0x7B
0xD0
0x02
0xA1
0xDD
0x80
0x17
0x09
0xC2
0x0D
0x00
0x04
0x00
0x06
0x83
0x20
0xDF
0x7F
0xF9
0xFD
0xDA
0xDD
0x7F
0xBF
0x11
0x01
0x48
0xF5
0xFB
0xFF
0x9D
0x75
0xD9
0xFF
0xFF
0xFF
0xFD
0xFF
0xCF
0x0D
0x42
0xF1
0xFD
0xBD
0xFD
0xFF
0x5B
0xA4
0x4A
0x52
0xA8
0xF0
0xB7
0x03
0x77
0x95
0x4A
0x88
0x08
0x00
0x00
0x40
0x10
0xA0
0xC0
0x7C
0xF2
0x7F
0x53
0xFE
0xFF
0xDF
0x23
0x82
0x80
0x78
0xFD
0xFE
0xFF
0xFF
0xFF
0xFF
0xFF
0xFF
0xFF
0x6F
0x1E
0x00
0x00
0x00
0xC0
0x7D
0x5B
0x74
0xAF
0xFF
0xCA
0xA5
0x43
0x20
0x00
0xA8
0x10
0x18
0x0A
0x00
0xB5
0x7D
0x5F
0xE5
0xF3
0xDF
0xEF
0xFB
0xFF
0xFF
0x76
0xD5
0x99
0xA9
0x18
0xAD
0x7A
0xFE
0xFF
0xFF
0xFE
0xFF
0xFF
0xDF
0xFF
0x7E
0xFE
0x20
0x00
0x88
0x40
0xEC
0xFF
0xFF
0xDF
0xD5
0x5B
0xEF
0xD2
0x88
0x4C
0x00
0x7F
0x06
0x01
0x01
0xAC
0xDE
0xFA
0xFF
0xFF
0xFF
0xFE
0xF7
0xFF
0xEF
0xFF
0xBF
0xF7
0x56
0xC5
0xA5
0xDF
0xFF
0xFF
0xBD
0x10
0xA2
0x52
0x75
0xFA
0xEB
0x03
0x77
0x95
0x57
0x21
0x00
0x00
0xA0
0x18
0x06
0x92
0x03
0xBE
0xE9
0xEF
0xFF
0xEE
0x7B
0xBF
0xF7
0x29
0x1C
0x4A
0xF7
0xB7
0xAA
0x97
0xFF
0xFF
0xFF
0xFF
0xFF
0xEF
0xF3
0xFD
0x25
0x02
0x94
0xA9
0x8F
0x6D
0x81
0x00
0x68
0xD7
0xB1
0x7F
0xBB
0x41
0xB7
0xF9
0xEB
0x00
0x00
0x01
