Time [s],Value,Parity Error,Framing Error
0.443735000000000,0xFD,Error,
0.445005000000000,0x45,,
0.446145000000000,0x7F,Error,
0.447290000000000,0xEF,Error,
0.448540000000000,0xFF,,
0.449895000000000,0xFF,,
0.451340000000000,0xFE,Error,
0.452495000000000,0xFF,,
0.453605000000000,0xFE,Error,
0.454785000000000,0xFF,,
0.456445000000000,0xFF,,
0.457565000000000,0xFB,Error,
0.459500000000000,0xFC,,
0.460610000000000,0xFF,,Error
0.461875000000000,0x7F,Error,Error
0.463085000000000,0x5E,Error,Error
0.464195000000000,0xFD,Error,
0.465395000000000,0xFE,Error,
0.466850000000000,0xFF,,
0.468930000000000,0xFF,,
0.470435000000000,0xFF,,
0.472050000000000,0xFF,,Error
0.473845000000000,0xFB,Error,
0.475075000000000,0xFE,Error,
0.476210000000000,0xDF,Error,Error
0.477330000000000,0xEF,,
0.478715000000000,0xDF,,
0.479810000000000,0x62,,Error
0.481000000000000,0x90,Error,
0.482120000000000,0x29,Error,Error
0.483255000000000,0xD5,Error,Error
0.484400000000000,0x8E,Error,
0.485575000000000,0xFD,Error,
0.494005000000000,0xFF,,
0.497200000000000,0xFF,,
0.499475000000000,0xF7,Error,
0.500685000000000,0x88,,Error
0.502260000000000,0xFE,Error,
0.504165000000000,0xFF,,
0.511255000000000,0xFF,,
0.512485000000000,0xFF,,
0.513870000000000,0xFF,Error,
0.515065000000000,0xFF,,
0.516940000000000,0xFF,,
0.518700000000000,0xFF,Error,Error
0.519810000000000,0x51,,Error
0.520965000000000,0xA1,,
0.522195000000000,0xBF,Error,
0.523440000000000,0x7F,Error,
0.524535000000000,0xFF,,
0.530475000000000,0xFF,,
0.531925000000000,0xFF,,
0.534265000000000,0xFF,,
0.535915000000000,0xFF,,
0.537345000000000,0xFF,,
0.538570000000000,0xFF,Error,Error
0.539675000000000,0x2D,Error,Error
0.540815000000000,0x52,,Error
0.541940000000000,0xF9,Error,
0.543180000000000,0xFF,,
0.544275000000000,0xBF,Error,
0.548320000000000,0xFF,,
0.554335000000000,0xFF,,
0.559495000000000,0xE5,,
0.560700000000000,0xB9,Error,
0.564030000000000,0xFF,,
0.571950000000000,0xFF,,
0.574355000000000,0xFF,,
0.576140000000000,0xFD,Error,
0.577465000000000,0xFF,,
0.579200000000000,0x33,Error,Error
0.580365000000000,0x8A,,Error
0.581520000000000,0xC4,,
0.582695000000000,0xAF,,
0.583790000000000,0xBF,Error,
0.585075000000000,0xFF,,
0.586655000000000,0xFF,,
0.590810000000000,0xFF,,
0.593265000000000,0xFF,,
0.595820000000000,0xFF,,Error
0.597260000000000,0xFF,,
0.599505000000000,0xFF,,
0.603190000000000,0xFF,,
0.604300000000000,0xFD,Error,
0.611270000000000,0xFF,,
0.614590000000000,0xFF,,
0.619355000000000,0xFF,,
0.620470000000000,0xE9,,Error
0.621580000000000,0xF2,Error,
0.622690000000000,0xFF,,
0.623805000000000,0xFF,,
0.628320000000000,0xFF,,
0.630055000000000,0xFF,,
0.631730000000000,0xFF,,
0.633115000000000,0xFF,,
0.634330000000000,0xFF,,
0.635650000000000,0xFF,,
0.637715000000000,0xFF,,
0.639015000000000,0xBF,Error,
0.640110000000000,0xD0,Error,Error
0.641260000000000,0xCC,Error,Error
0.642420000000000,0xEB,,Error
0.643745000000000,0xFF,,
0.644855000000000,0xFF,,
0.648815000000000,0xFF,,
0.651030000000000,0xFF,,
0.653820000000000,0xFF,,
0.655035000000000,0xFF,,
0.656450000000000,0xFF,,
0.657745000000000,0xFF,,
0.660575000000000,0x82,Error,Error
0.661685000000000,0xA8,Error,Error
0.662800000000000,0xF5,,
0.664015000000000,0x4F,Error,Error
0.665440000000000,0xFF,,
0.666895000000000,0xFF,,
0.668245000000000,0xBF,Error,Error
0.669380000000000,0xFF,,
0.670550000000000,0xFF,,
0.671730000000000,0xFF,,
0.672825000000000,0xFF,,
0.673925000000000,0xEF,Error,
0.675530000000000,0xFF,,
0.676630000000000,0xF3,,
0.678650000000000,0xFF,,Error
0.680080000000000,0xDE,,
0.681220000000000,0xAD,Error,
0.682315000000000,0xCD,,
0.683435000000000,0x77,,Error
0.684580000000000,0xFB,Error,
0.685930000000000,0xFF,,Error
0.687055000000000,0xFF,Error,
0.689055000000000,0xFE,Error,Error
0.690160000000000,0xFF,Error,
0.691535000000000,0xDF,Error,
0.693215000000000,0xFF,Error,Error
0.694480000000000,0x7F,Error,
0.696335000000000,0xFF,,Error
0.697940000000000,0xEF,Error,
0.699455000000000,0x0C,Error,Error
0.700705000000000,0x02,Error,Error
0.701955000000000,0x05,,Error
0.703110000000000,0x6A,Error,Error
0.704220000000000,0xEC,Error,
0.707965000000000,0xFF,,
0.710525000000000,0xFF,,
0.712310000000000,0xFF,Error,
0.714220000000000,0xFF,,
0.719095000000000,0xF7,Error,
0.720460000000000,0xEE,,
0.721740000000000,0xFF,,
0.730270000000000,0xFF,,
0.732005000000000,0xFF,,
0.733695000000000,0xBF,Error,
0.736210000000000,0xFF,,
0.738330000000000,0xFF,,
0.739520000000000,0xBD,Error,
0.740760000000000,0xC1,,Error
0.742005000000000,0xB5,Error,
0.743245000000000,0xFD,Error,
0.744580000000000,0xFF,,
0.754120000000000,0xFF,,
0.755250000000000,0xFF,,
0.757110000000000,0xFF,,
0.758310000000000,0xFF,Error,
0.759550000000000,0x25,,
0.760750000000000,0x80,Error,Error
0.761870000000000,0xD2,,
0.762990000000000,0xE9,Error,
0.764305000000000,0xFB,Error,
0.770090000000000,0xFF,,
0.771345000000000,0xFF,,
0.772510000000000,0xFF,,
0.775815000000000,0xFF,,
0.777285000000000,0xFF,,
0.778755000000000,0xFF,,Error
0.780510000000000,0xFF,,
0.789620000000000,0xFF,,
0.792785000000000,0xFF,,
0.793930000000000,0xFF,,
0.795080000000000,0xFF,,
0.796715000000000,0xFF,,
0.798090000000000,0xEF,Error,
0.799560000000000,0x25,,Error
0.800675000000000,0x66,,
0.801780000000000,0xA7,,
0.802905000000000,0xDF,Error,
0.804345000000000,0xFF,,
0.809820000000000,0xFF,,
0.811350000000000,0xFF,,
0.813960000000000,0xFF,,
0.816210000000000,0xFF,,
0.822255000000000,0xFF,,Error
0.823530000000000,0xFD,Error,
0.828635000000000,0xFF,,
0.834310000000000,0xFF,,
0.839280000000000,0x3B,Error,Error
0.840385000000000,0xDC,,Error
0.841580000000000,0x1C,,
0.842750000000000,0xEF,Error,
0.843865000000000,0xFF,,
0.845145000000000,0xFF,,
0.846975000000000,0xFF,,
