Time [s],Value,Parity Error,Framing Error
0.174990000000000,0x06,Error,
0.176175000000000,0x00,Error,Error
0.177305000000000,0x00,Error,Error
0.178460000000000,0x00,Error,Error
0.179625000000000,0x04,Error,
0.180795000000000,0x01,,Error
0.182065000000000,0x00,,Error
0.183210000000000,0x80,Error,
0.184455000000000,0xFD,,
0.185600000000000,0xF3,,
0.186745000000000,0xFB,Error,
0.188095000000000,0xE5,Error,Error
0.189210000000000,0xFD,,
0.190385000000000,0x7B,,
0.191635000000000,0xDE,,
0.192865000000000,0xF7,Error,
0.194340000000000,0xA3,,Error
0.195975000000000,0xF7,Error,
0.197315000000000,0xFE,Error,
0.198500000000000,0xFF,Error,Error
0.199605000000000,0x8F,,
0.200725000000000,0x02,,Error
0.201900000000000,0xB2,,
0.203095000000000,0xFD,Error,
0.204460000000000,0xFB,Error,
0.205780000000000,0xFF,,Error
0.207865000000000,0xFF,,
0.208960000000000,0xFF,Error,
0.210700000000000,0xF3,,
0.211920000000000,0xFE,Error,
0.213070000000000,0xFF,,Error
0.214175000000000,0xFF,Error,
0.215375000000000,0x7F,Error,
0.216535000000000,0xBF,Error,
0.217870000000000,0x97,Error,
0.219165000000000,0x84,Error,
0.220260000000000,0x42,Error,Error
0.221400000000000,0x09,Error,Error
0.222520000000000,0x80,,Error
0.223695000000000,0xC8,Error,
0.224975000000000,0xFF,,
0.226110000000000,0xFF,,
0.227875000000000,0xFF,,
0.228980000000000,0xFD,Error,
0.230180000000000,0xFF,,
0.231310000000000,0xD5,Error,
0.233080000000000,0x1F,Error,
0.234175000000000,0x9B,,
0.235290000000000,0x81,,Error
0.236390000000000,0x0F,,Error
0.237595000000000,0x43,,Error
0.238700000000000,0x20,,Error
0.239935000000000,0x38,,Error
0.241110000000000,0x0F,Error,Error
0.242355000000000,0x21,Error,Error
0.243460000000000,0x01,,
0.244765000000000,0xB7,,
0.245910000000000,0xFD,Error,Error
0.247025000000000,0xEE,,
0.248620000000000,0xFF,,
0.249735000000000,0xFF,,
0.251745000000000,0xFF,,Error
0.252865000000000,0xFF,Error,
0.254385000000000,0xEF,,
0.255580000000000,0xFB,Error,
0.256955000000000,0xFF,,Error
0.258080000000000,0xFF,Error,
0.259410000000000,0xCD,,Error
0.260510000000000,0xC2,Error,Error
0.261645000000000,0xF4,,
0.262805000000000,0xF3,,Error
0.263930000000000,0xFB,Error,
0.265290000000000,0xFF,,Error
0.267370000000000,0xFF,,
0.268490000000000,0xFF,,
0.270505000000000,0xEF,Error,Error
0.271610000000000,0xC3,Error,Error
0.272745000000000,0x21,Error,Error
0.273855000000000,0xC0,Error,Error
0.276250000000000,0xA0,,
0.277405000000000,0x5F,,
0.278505000000000,0x6E,Error,Error
0.279690000000000,0x90,Error,Error
0.280860000000000,0x19,,Error
0.282070000000000,0xAA,,Error
0.283175000000000,0xE9,,Error
